user_id,is_active,change_button_link,videos_uploaded,save_edit_placeholder,publishes,change_button_name,w_sessions,change_placeholder_title,w_watches,w_auth_watchers,w_customers,w_revenue
mczrei37ju,0.0,0.0,6.0,1.0,3.0,0.0,9.0,0.0,1.0,1.0,0.0,
bncphw6svj,0.0,2.0,6.0,5.0,7.0,1.0,2.0,0.0,1.0,1.0,0.0,
xx6egx0cjh,0.0,0.0,6.0,2.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,
78wvfes6nc,0.0,0.0,6.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,
3tsrx3tn8u,0.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,
9jcbpt2p5i,0.0,0.0,2.0,0.0,6.0,0.0,8.0,2.0,1.0,1.0,0.0,
okcypmju8e,0.0,0.0,6.0,5.0,6.0,0.0,9.0,0.0,3.0,1.0,0.0,
vfwpcmf6k7,0.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,6.0,1.0,0.0,
7zv7vkfrmp,0.0,0.0,9.0,6.0,1.0,0.0,6.0,3.0,5.0,1.0,0.0,
s5bcbs3nc1,0.0,0.0,8.0,1.0,3.0,0.0,8.0,1.0,5.0,1.0,0.0,
sfaog6tnv0,0.0,0.0,6.0,0.0,10.0,0.0,8.0,0.0,5.0,1.0,0.0,
hfhun6e2fe,0.0,0.0,6.0,0.0,2.0,0.0,21.0,0.0,5.0,1.0,0.0,
ucjkcv8k4t,0.0,0.0,4.0,0.0,5.0,0.0,11.0,0.0,5.0,1.0,0.0,
xc5x571o3u,0.0,0.0,4.0,0.0,2.0,0.0,7.0,0.0,5.0,1.0,0.0,
tg1arwspmy,0.0,0.0,8.0,3.0,7.0,0.0,72.0,3.0,4.0,1.0,1.0,5.0
t6u1k1w81e,0.0,0.0,5.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,
tnmx3kluqy,0.0,0.0,5.0,0.0,4.0,0.0,7.0,0.0,1.0,1.0,0.0,
a2vmt26agr,0.0,0.0,5.0,0.0,2.0,0.0,9.0,0.0,1.0,1.0,0.0,
apdt28031q,0.0,0.0,5.0,4.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,
uhlx73ctal,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
efnev7d2un,0.0,0.0,3.0,3.0,1.0,0.0,10.0,0.0,3.0,1.0,0.0,
eo0s5l2whc,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,
u9rkvm3ubd,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
dg7wxtpd2u,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,
pfml3q3cjp,0.0,0.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,
pyi03wsofs,0.0,0.0,6.0,1.0,1.0,0.0,14.0,0.0,4.0,1.0,0.0,
xak61wyk92,0.0,2.0,5.0,2.0,4.0,1.0,59.0,0.0,4.0,1.0,0.0,
64dmip53ok,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,
51krq2fc16,0.0,0.0,4.0,0.0,5.0,0.0,7.0,0.0,4.0,1.0,0.0,
rhbgh85jlj,0.0,0.0,15.0,2.0,6.0,0.0,60.0,1.0,3.0,1.0,0.0,
fv9x2l6q2h,0.0,0.0,6.0,1.0,3.0,0.0,5.0,3.0,3.0,1.0,0.0,
mytpor5u0o,0.0,0.0,4.0,4.0,4.0,0.0,5.0,0.0,3.0,1.0,0.0,
ga94ibbxgn,0.0,0.0,4.0,1.0,5.0,0.0,13.0,1.0,3.0,1.0,0.0,
o74nt7xzzj,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,3.0,1.0,0.0,
3ipwq4b4h1,0.0,0.0,2.0,2.0,2.0,0.0,11.0,0.0,2.0,1.0,0.0,
kz8rbyywi4,0.0,0.0,17.0,1.0,4.0,0.0,7.0,0.0,2.0,1.0,0.0,
yxh5322mcs,0.0,0.0,9.0,0.0,8.0,0.0,5.0,0.0,2.0,1.0,0.0,
mtgfz25wfo,0.0,0.0,9.0,6.0,4.0,0.0,8.0,0.0,2.0,1.0,0.0,
lql87gsuip,0.0,1.0,7.0,6.0,17.0,1.0,126.0,2.0,2.0,1.0,0.0,
3mo8m1n46e,0.0,0.0,6.0,0.0,2.0,0.0,9.0,0.0,2.0,1.0,0.0,
dylljnvmkl,0.0,0.0,6.0,0.0,2.0,0.0,11.0,0.0,2.0,1.0,0.0,
8sr0q38wwv,0.0,0.0,4.0,3.0,3.0,0.0,36.0,0.0,2.0,1.0,0.0,
rlz5bmmrke,0.0,0.0,6.0,3.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,
hls09xbvgx,0.0,0.0,5.0,1.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,
628cy5lraz,0.0,0.0,5.0,5.0,3.0,0.0,11.0,0.0,2.0,1.0,0.0,
dvd19sayac,0.0,0.0,5.0,3.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,
02te33af82,0.0,0.0,4.0,2.0,7.0,0.0,5.0,1.0,2.0,1.0,0.0,
3b68ozsym6,0.0,0.0,4.0,5.0,3.0,0.0,2.0,5.0,2.0,1.0,0.0,
y6izu44857,0.0,0.0,4.0,0.0,5.0,0.0,9.0,0.0,2.0,2.0,0.0,
4m11z0g8ty,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,
